Exercice,Nom 2024 Commune,Nom 2024 Département,Agrégat,Montant,Montant en millions,Population totale,Montant en € par habitant
2024,Baillif,Guadeloupe,Autres dotations et subventions,0.0,0.0,5127,0.0
2024,Basse-Terre,Guadeloupe,Autres dotations et subventions,1415877.78,1.41587778,9973,141.97109996991878
2024,Basse-Terre,Guadeloupe,Autres dotations et subventions,0.0,0.0,9973,0.0
2024,Bouillante,Guadeloupe,Autres dotations et subventions,569225.45,0.5692254499999999,6729,84.59287412691336
2024,Bouillante,Guadeloupe,Autres dotations et subventions,0.0,0.0,6729,0.0
2024,Bouillante,Guadeloupe,Autres dotations et subventions,23503.0,0.023503,6729,3.4927923911428147
2024,Capesterre-Belle-Eau,Guadeloupe,Autres dotations et subventions,2071064.32,2.07106432,17888,115.77953488372091
2024,Capesterre-de-Marie-Galante,Guadeloupe,Autres dotations et subventions,700261.87,0.70026187,3226,217.06815561066333
2024,Capesterre-de-Marie-Galante,Guadeloupe,Autres dotations et subventions,0.0,0.0,3226,0.0
2024,Gourbeyre,Guadeloupe,Autres dotations et subventions,3569375.58,3.56937558,7617,468.6064828672706
2024,Gourbeyre,Guadeloupe,Autres dotations et subventions,0.0,0.0,7617,0.0
2024,La Désirade,Guadeloupe,Autres dotations et subventions,155831.71,0.1558317099999999,1420,109.74064084507042
2024,La Désirade,Guadeloupe,Autres dotations et subventions,0.0,0.0,1420,0.0
2024,Deshaies,Guadeloupe,Autres dotations et subventions,1423846.88,1.42384688,3976,358.11038229376254
2024,Deshaies,Guadeloupe,Autres dotations et subventions,0.0,0.0,3976,0.0
2024,Grand-Bourg,Guadeloupe,Autres dotations et subventions,613163.51,0.61316351,4813,127.39736339081654
2024,Le Gosier,Guadeloupe,Autres dotations et subventions,3172538.53,3.17253853,27437,115.62993512410247
2024,Le Gosier,Guadeloupe,Autres dotations et subventions,0.0,0.0,27437,0.0
2024,Goyave,Guadeloupe,Autres dotations et subventions,2191701.44,2.19170144,7780,281.7096966580977
2024,Lamentin,Guadeloupe,Autres dotations et subventions,786685.85,0.78668585,18804,41.83609072537758
2024,Morne-à-l'Eau,Guadeloupe,Autres dotations et subventions,1891819.61,1.89181961,16089,117.58466094847412
2024,Morne-à-l'Eau,Guadeloupe,Autres dotations et subventions,5944000.0,5.944,16089,369.4449623966685
2024,Le Moule,Guadeloupe,Autres dotations et subventions,1757298.99,1.75729899,22949,76.5740986535361
2024,Le Moule,Guadeloupe,Autres dotations et subventions,0.0,0.0,22949,0.0
2024,Petit-Bourg,Guadeloupe,Autres dotations et subventions,7738798.03,7.73879803,24560,315.0976396579805
2024,Petit-Canal,Guadeloupe,Autres dotations et subventions,833532.77,0.83353277,8325,100.12405645645646
2024,Pointe-à-Pitre,Guadeloupe,Autres dotations et subventions,1329191.52,1.32919152,14576,91.19041712403951
2024,Pointe-à-Pitre,Guadeloupe,Autres dotations et subventions,2945898.83,2.94589883,14576,202.10612170691547
2024,Pointe-Noire,Guadeloupe,Autres dotations et subventions,836876.1,0.8368761,6012,139.2009481037924
2024,Port-Louis,Guadeloupe,Autres dotations et subventions,920492.39,0.92049239,5655,162.77495844385498
2024,Saint-Claude,Guadeloupe,Autres dotations et subventions,3910380.93,3.91038093,10900,358.75054403669725
2024,Saint-François,Guadeloupe,Autres dotations et subventions,2194174.7,2.1941747,13150,166.857391634981
2024,Saint-François,Guadeloupe,Autres dotations et subventions,0.0,0.0,13150,0.0
2024,Saint-Louis,Guadeloupe,Autres dotations et subventions,572076.27,0.57207627,2561,223.38003514252247
2024,Sainte-Anne,Guadeloupe,Autres dotations et subventions,2077451.7,2.0774517,24518,84.73169508116486
2024,Sainte-Rose,Guadeloupe,Autres dotations et subventions,1367893.35,1.36789335,17878,76.51266081217139
